Show,TRP,TVR
Star Pravah Parivar Puraskar 2022,7.4,
Rang Majha Vegla,6.9,6.8
Aai Kuthe Kay Karte,6.7,6.4
Sukh Mhanje Nakki Kay Asta,6.4,6.4
Phulala Sugandh Maticha,6.1,6.2
Thipkyanchi Rangoli,5.8,5.1
Mulgi Zali Ho,5.4,3.9
Majhi Tujhi Reshimgath,4.9,4.3
Swabhimaan,4.4,4.3
Sahakutumb Sahaparivar,4.2,3.9
Aboli,3.8,3.4
Tu Tevha Tashi,3.3,3
Man Udu Udu Jhala,2.9,3.3
Masaledar Kitchen Kallakar,2.1,2.4
Devmanus 2,1.8,2.5
Chala Hawa Yeu Dya,1.6,2.8
Lagnachi Bedi,1.4,2.8
Jeev Majha Guntala,1.4,2.2
Sundara Manamdhye bharli,1.3,2.1
Pinkicha Vijay Aso,1.1,2.1
Bhagya Dile Tu Mala,1,1.3
Filmfare Awards Marathi 2021,0.9,
Hasyajatra,0.7,
Boss Majhi Ladachi,0.7,
Sundar Amche Ghar,0.5,
Muramba,,2.1
Nave Lakshya,,2.7
Mi Honar Superstar Chote Ustad,,3.6
Home Minister,,0.6
Ghetla Vasa Taku Nako,,0.6
Man Jhala Bajind,,1.9
Tujhya Majhya Sansarala Ani kay Hava,,1.9
Ratris Khel Chale,,0.9
Band Baja Varat,,1.7
Tujhya Rupacha Chandana,,0.6
Raja Ranichi Ga Jodi,,1.3
Balumamachya Navana Changbhala,,1.1
Jai Jai Swami Samarth,,2.2
Aai Mayecha Kavach,,1.2
Lek Mahi Durga,,0.6
