Channel,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22
Colors Marathi,430.32,468.57,484.15,512.4,471.2,468.64,423.05,414.58,392.41,369.16,384.35,405.62,430.03,395.48,379.31,353.63,323.03,331.81,341.48,316.46,346.47,360.34
Dhinchaak,,,,,,,,,,,,458.39,,,,,,,,,,
Goldmines,,,,,,,,,,,,,,,,,,,,,,328.36
Sony SAB,488.02,524.12,533.76,505.78,447.84,425.13,409.36,414.5,412.4,419.16,442.3,442.04,419.38,444.1,424.86,433.61,407.13,432.37,467.49,471.16,491.44,448.93
Star Plus,351.31,354.88,339.87,326.16,,,,361.45,360.87,340.29,341.63,,,,,,,,,,,
Star Pravah,1578.27,1492.66,1474.24,1442.81,1372.02,1321.8,1326.7,1415.89,1451.78,1447.35,1434.9,1445.64,1396.25,1465.01,1319.68,1383.18,1377.46,1297.35,1307.16,1225.08,1340.39,1458.19
Star Sports 1 Hindi,,,,,,,,,,,,,616.75,620.28,657.54,662.71,525.2,598.47,552.39,527.3,496.4,
Star Utsav,,,,,329.15,332.07,,,,,,,,,,,,,,,,
Zee Marathi,695.06,668.41,636.87,609.23,742.99,609.9,609.41,605.05,596.76,572.46,562.99,546.65,550.42,441.22,472.63,488.56,470.05,497.97,511.6,512.35,538.85,525.84
Zee TV,,,,,,,337.73,,,,,,,,,,,,,,,
