Show,Channel,Platform,Week 2 TRP,Week 2 Rank,Week 2 Time,Week 5 TRP,Week 5 Rank,Week 5 Time,Week 6 TRP,Week 6 Rank,Week 6 Time,Week 7 TRP,Week 7 Rank,Week 7 Time,Week 8 TRP,Week 8 Rank,Week 8 Time,Week 9 TRP,Week 9 Rank,Week 9 Time,Type
Aboli,Star Pravah,Hotstar,,,,,,,,,,,,,3.4,2.0,19:00,,,,Fiction
Devmanus S2,Zee Marathi,Zee5,2.6,3.0,22:00,,,,,,,,,,3.0,3.0,22:00,,,,Fiction
Majhi Tujhi Reshimgath,Zee Marathi,Zee5,,,,,,,4.4,2.0,20:00,,,,,,,,,,Fiction
Man Jhala Bajind,Zee Marathi,Zee5,,,,,,,,,,,,,1.2,4.0,20:00,,,,Fiction
Man Udu Udu Jhala,Zee Marathi,Zee5,3.1,1.0,19:00,,,,,,,3.6,3.0,20:00,,,,,,,Fiction
Masta Majedar Kitchen Kallakar,Zee Marathi,Zee5,2.2,4.0,21:00,,,,,,,,,,,,,,,,Non-Fiction
Mulgi Zali Ho,Star Pravah,Hotstar,,,,,,,4.0,3.0,19:00,,,,,,,,,,Fiction
Phulala Sugandh Maticha,Star Pravah,Hotstar,,,,,,,4.8,1.0,20:00,,,,,,,5.1,2.0,19:00,Fiction
Rang Majha Vegla,Star Pravah,Hotstar,,,,,,,,,,,,,6.4,1.0,20:00,,,,Fiction
Sahakutumba Sahaparivar,Star Pravah,Hotstar,2.9,2.0,20:00,,,,,,,,,,,,,,,,Fiction
Sukh Mhanje Nakki Kay Asta,Star Pravah,Hotstar,,,,,,,,,,,,,,,,6.2,1.0,20:00,Fiction
Swabhimaan,Star Pravah,Hotstar,,,,,,,,,,4.2,2.0,19:00,,,,,,,Fiction
Thipkyanchi Rangoli,Star Pravah,Hotstar,,,,5.4,1.0,20:00,,,,5.1,1.0,20:00,,,,,,,Fiction
Tujhya Majhya Sansarala Ani Kai Hava,Zee Marathi,Zee5,1.1,5.0,20:00,,,,1.1,4.0,21:00,1.0,4.0,21:00,0.9,5.0,21:00,,,,Fiction
