Show,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28,Week 29
Aai Kuthe Kay Karte,41.6,42.3,39.6,39.6,40.1,41.9,41.2,41.2,43.9,42.1,42.1,43.1,44.0,42.1,42.3,42.1,42.1,43.4,42.4,42.1,43.1,42.4,43.4,43.4,42.3,42.3,42.6,43.3,42.0
Aboli,,,,,,,20.8,,18.3,,,,,,,,,,,,,,,,15.2,,,,
Bhagya Dile Tu Mala,,,,,,,,,,,,,,,,,,,,,,,,,12.4,,,,
Chala Hawa Yeu Dya,,,,,,,17.9,,16.2,,,,,,,,,,,,,,,,23.2,,,,
Devmanus S2,32.5,31.6,28.6,29.5,27.3,25.4,27.6,26.4,27.4,27.6,25.1,25.4,,,,,,,,,,,,,19.6,,,,
Jeev Majha Guntala,,,,,,,19.8,,15.1,,,,,,,,,,,,,,,,17.6,,,,
Lagnachi Bedi,,,,,19.9,,18.6,,25.2,,,,25.4,27.6,27.2,28.4,28.3,27.6,27.0,29.6,28.3,28.9,29.6,28.6,29.8,29.6,28.2,29.0,29.6
Majhi Tujhi Reshimgath,35.9,37.6,35.9,40.3,35.4,36.8,37.2,35.4,34.7,35.9,35.4,35.0,34.1,36.4,35.4,37.6,36.5,37.6,36.5,34.2,37.4,37.5,40.5,39.6,35.6,35.4,34.1,35.1,35.2
Man Jhala Bajind,,,,,,,,,14.3,,,,,,,,,,,,,,,,,,,,
Man Udu Udu Jhala,31.6,30.4,34.2,35.2,32.9,33.1,34.0,30.1,30.8,32.6,28.3,28.6,27.1,29.8,29.6,30.1,29.6,32.1,31.2,32.0,33.8,32.8,32.1,33.6,33.1,33.6,36.2,34.3,36.2
Masaledar Kitchen Kallakar,,,,,,,,,,,,,,,,,,,,,,,,,12.2,,,,
Masta Majedar Kitchen Kallakar,,,,,,,22.0,,19.1,,,,,,,,,,,,,,,,,,,,
Me Honar Superstar Chote Ustad,,,,,,,15.4,,,,,,,,,,,,,,,,,,,,,,
Mulgi Zali Ho - I,,,29.8,,,24.9,23.9,,22.8,,,,,,,,,,,,,,,,,,,,
Muramba,,,,,,,22.1,,20.6,,,,,,,,,,,,,,,,20.0,,,,
Phulala Sugandh Maticha,30.0,34.3,30.6,30.8,29.6,27.6,29.8,29.6,31.2,34.1,30.8,31.7,32.1,34.6,33.7,33.6,32.0,31.0,29.6,33.8,30.6,30.8,30.9,31.8,30.3,32.0,32.0,32.8,33.2
Pinkycha Vijay Aso,,,,,17.4,,,,,,,,,,,,,,,,,,,,,,,,
Rang Majha Vegla,36.8,38.6,37.2,37.2,39.6,37.2,39.6,39.6,39.6,37.6,38.4,39.6,39.8,39.8,38.7,40.1,40.6,40.2,40.6,40.3,39.6,40.1,37.6,37.4,34.2,39.6,40.1,39.6,39.1
Sahakutumba Sahaparivar,,,,,,,21.7,,19.8,,,,,,,,,,,,,,,,16.4,,,,
Sukh Mhanje Nakki Kay Asta,40.3,38.4,36.4,36.1,34.2,35.8,36.9,33.9,36.1,38.3,39.6,37.5,37.4,40.7,40.6,39.7,36.2,35.4,33.0,39.7,35.9,35.4,34.3,40.1,40.2,37.4,39.6,35.6,37.5
Sundara Manamadhye Bharali,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,,,
Swabhimaan,34.3,33.2,33.1,33.7,30.1,30.5,32.1,27.2,29.6,30.3,33.2,32.4,30.8,32.1,31.2,35.4,34.7,34.1,28.9,30.3,31.2,38.6,40.0,34.1,32.9,30.5,29.6,30.2,30.2
Thipkyanchi Rangoli,38.4,40.7,41.2,42.3,42.4,39.6,37.6,37.2,37.5,40.3,37.0,38.8,36.5,38.1,37.6,38.5,39.8,39.6,38.7,36.5,35.2,34.0,35.4,35.2,38.6,37.2,37.5,38.4,39.6
Tu Tevha Tashi,,,,,,,,,,,,29.3,27.8,27.1,27.6,29.2,28.6,,,,,,,,25.6,,,,
Tujhech Mi Geet Gaat Ahe,,,,,,,,,,,,,,,,,,28.6,27.6,27.5,27.4,27.6,27.4,27.4,28.6,28.6,27.3,28.5,28.2
Tujhya Majhya Sansarala Ani Kai Hava,,,,,,,16.2,,14.1,,,,,,,,,,,,,,,,,,,,
Yeu Kashi Tashi Me Nandayla,29.2,29.6,,27.2,25.7,,25.4,24.1,24.3,25.4,26.2,,,,,,,,,,,,,,,,,,
